Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"response = sendRequestAndVerify(findTestObject(""Rest API/Grocery/New Cart""))",,,,2023-07-07 10:13:10,2023-07-07 10:13:10,"0,815s",PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,2023-07-07 10:13:10,2023-07-07 10:13:10,"0,000s",PASSED
object = jsonSlurper.parseText(response.getResponseBodyContent()),,,,2023-07-07 10:13:10,2023-07-07 10:13:10,"0,000s",PASSED
"println(""parse cartId = "" + cartId)",,,,2023-07-07 10:13:10,2023-07-07 10:13:10,"0,001s",PASSED
basketId = cartId,,,,2023-07-07 10:13:10,2023-07-07 10:13:10,"0,000s",PASSED
"sendRequestAndVerify(findTestObject(""Rest API/Grocery/Add card item"", [""Id"":basketId]))",,,,2023-07-07 10:13:10,2023-07-07 10:13:12,"1,091s",PASSED
"client = sendRequest(findTestObject(""Rest API/Grocery/Register new client"", [""username"":name, ""email"":mail]))",,,,2023-07-07 10:13:12,2023-07-07 10:13:13,"0,946s",PASSED
order = jsonSlurper.parseText(client.getResponseBodyContent()),,,,2023-07-07 10:13:13,2023-07-07 10:13:13,"0,000s",PASSED
token = accessToken,,,,2023-07-07 10:13:13,2023-07-07 10:13:13,"0,001s",PASSED
"println(""order is "" + order)",,,,2023-07-07 10:13:13,2023-07-07 10:13:13,"0,001s",PASSED
"println(""parse token is ="" + token)",,,,2023-07-07 10:13:13,2023-07-07 10:13:13,"0,001s",PASSED
"sendRequestAndVerify(findTestObject(""New Order"", [""orderToken"":token]))",,,,2023-07-07 10:13:13,2023-07-07 10:13:13,"0,802s",FAILED
,,,,,,,
Test Cases/Get_all_products,,,,2023-07-07 10:13:13,2023-07-07 10:13:14,"0,948s",PASSED
"sendRequestAndVerify(findTestObject(""Rest API/Grocery/Get all products""))",,,,2023-07-07 10:13:13,2023-07-07 10:13:14,"0,860s",PASSED
